seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
7222205219497,80,0,0.05,0.13,0.876,0.6562,15,16
7091514560479,80,0,0.05,0.13,0.876,0.6562,15,17
4420396342324,80,0,0.05,0.13,0.876,0.6562,15,18
4328105118480,80,0,0.05,0.13,0.876,0.6562,15,19
3044374876543,80,0,0.05,0.13,0.876,0.6562,15,2
7083504533124,80,0,0.05,0.13,0.876,0.6562,15,20
2964534590967,80,0,0.05,0.13,0.876,0.6562,15,21
7646446179632,80,0,0.05,0.13,0.876,0.6562,15,22
7124394697348,80,0,0.05,0.13,0.876,0.6562,15,23
3579906286615,80,0,0.05,0.13,0.876,0.6562,15,24
3560326200411,80,0,0.05,0.13,0.876,0.6562,15,25
7105874610839,80,0,0.05,0.13,0.876,0.6562,15,26
7176504976548,80,0,0.05,0.13,0.876,0.6562,15,27
7237015282237,80,0,0.05,0.13,0.876,0.6562,15,28
1795496216268,80,0,0.05,0.13,0.876,0.6562,15,29
4317904978683,80,0,0.05,0.13,0.876,0.6562,15,3
4343865220433,80,0,0.05,0.13,0.876,0.6562,15,30
4027195580161,80,0,0.05,0.13,0.876,0.6562,15,4
3347215412894,80,0,0.05,0.13,0.876,0.6562,15,5
7206135153644,80,0,0.05,0.13,0.876,0.6562,15,6
3088035044707,80,0,0.05,0.13,0.876,0.6562,15,7
7209925166620,80,0,0.05,0.13,0.876,0.6562,15,8
7111774627278,80,0,0.05,0.13,0.876,0.6562,15,9
2996674706022,80,0,0.05,0.13,0.876,0.6562,4,1
4343805220387,80,0,0.05,0.13,0.876,0.6562,4,10
4310804894710,80,0,0.05,0.13,0.876,0.6562,4,11
