seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
8199965424526,80,0.05,0.13,0.876,0.6562,15,14
1975045940026,80,0.05,0.13,0.876,0.6562,15,15
4541245784486,80,0.05,0.13,0.876,0.6562,15,16
3687862216012,80,0.05,0.13,0.876,0.6562,15,17
4344775364695,80,0.05,0.13,0.876,0.6562,15,18
7781812686693,80,0.05,0.13,0.876,0.6562,15,19
4170444686739,80,0.05,0.13,0.876,0.6562,15,2
4790305872950,80,0.05,0.13,0.876,0.6562,15,20
4568416000322,80,0.05,0.13,0.876,0.6562,15,21
4919244923872,80,0.05,0.13,0.876,0.6562,15,22
1924575663708,80,0.05,0.13,0.876,0.6562,15,23
4978475576427,80,0.05,0.13,0.876,0.6562,15,24
4854744189915,80,0.05,0.13,0.876,0.6562,15,25
3741812521430,80,0.05,0.13,0.876,0.6562,15,26
3836693081871,80,0.05,0.13,0.876,0.6562,15,27
4816152993749,80,0.05,0.13,0.876,0.6562,15,28
3743992532313,80,0.05,0.13,0.876,0.6562,15,29
8070484782075,80,0.05,0.13,0.876,0.6562,15,3
1904975013651,80,0.05,0.13,0.876,0.6562,15,30
4797272246823,80,0.05,0.13,0.876,0.6562,15,4
4179164717415,80,0.05,0.13,0.876,0.6562,15,5
8199555424406,80,0.05,0.13,0.876,0.6562,15,6
8094474902399,80,0.05,0.13,0.876,0.6562,15,7
4031794146646,80,0.05,0.13,0.876,0.6562,15,8
3684022198525,80,0.05,0.13,0.876,0.6562,15,9
7782142687959,80,0.05,0.13,0.876,0.6562,4,1
4194034766361,80,0.05,0.13,0.876,0.6562,4,10
7973644291288,80,0.05,0.13,0.876,0.6562,4,11
4808565982917,80,0.05,0.13,0.876,0.6562,4,12
4885884542631,80,0.05,0.13,0.876,0.6562,4,13
3980213925414,80,0.05,0.13,0.876,0.6562,4,14
3692932243709,80,0.05,0.13,0.876,0.6562,4,15
7848133399499,80,0.05,0.13,0.876,0.6562,4,16
2599956003387,80,0.05,0.13,0.876,0.6562,4,17
4003154039358,80,0.05,0.13,0.876,0.6562,4,18
4828896151491,80,0.05,0.13,0.876,0.6562,4,19
4865704327469,80,0.05,0.13,0.876,0.6562,4,2
3858183217630,80,0.05,0.13,0.876,0.6562,4,20
7720272160222,80,0.05,0.13,0.876,0.6562,4,21
8019444535226,80,0.05,0.13,0.876,0.6562,4,22
7788602750439,80,0.05,0.13,0.876,0.6562,4,23
7819393068694,80,0.05,0.13,0.876,0.6562,4,24
4207174825322,80,0.05,0.13,0.876,0.6562,4,25
2866276303626,80,0.05,0.13,0.876,0.6562,4,26
4971625494681,80,0.05,0.13,0.876,0.6562,4,27
4384735536991,80,0.05,0.13,0.876,0.6562,4,28
4840796227199,80,0.05,0.13,0.876,0.6562,4,29
7975894301819,80,0.05,0.13,0.876,0.6562,4,3
4107494436944,80,0.05,0.13,0.876,0.6562,4,30
2595455943587,80,0.05,0.13,0.876,0.6562,4,4
4081854335851,80,0.05,0.13,0.876,0.6562,4,5
3978753921003,80,0.05,0.13,0.876,0.6562,4,6
8035954612836,80,0.05,0.13,0.876,0.6562,4,7
8166825265172,80,0.05,0.13,0.876,0.6562,4,8
2600976019578,80,0.05,0.13,0.876,0.6562,4,9
1912955269755,80,0.05,0.13,0.876,0.7805,15,1
3803732879953,80,0.05,0.13,0.876,0.7805,15,10
4400295595596,80,0.05,0.13,0.876,0.7805,15,11
3962233837350,80,0.05,0.13,0.876,0.7805,15,12
4782065797583,80,0.05,0.13,0.876,0.7805,15,13
