iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.53953,3.67848,10.098,0.647608
1,2750,2750,0.64,0.703273,0.576182,6.43028,3.61703,10.2368,0.628152
1,2750,2750,0.64,0.703273,0.576182,6.25545,3.51869,9.85119,0.634994
1,2750,2750,0.64,0.703273,0.576182,6.54111,3.67937,10.2511,0.638088
1,2750,2750,0.64,0.703273,0.576182,6.61414,3.72045,10.2111,0.647739
1,2750,2750,0.64,0.703273,0.576182,6.39929,3.5996,10.1503,0.630455
1,2750,2750,0.64,0.703273,0.576182,6.41172,3.60659,9.84161,0.651491
1,2750,2750,0.64,0.703273,0.576182,6.29781,3.54252,9.98981,0.630423
1,2750,2750,0.64,0.703273,0.576182,6.19281,3.48345,9.52491,0.65017
1,2750,2750,0.64,0.703273,0.576182,6.49395,3.65285,9.9562,0.652252
1,2750,2750,0.64,0.703273,0.576182,6.45153,3.62899,9.71982,0.66375
1,2750,2750,0.64,0.703273,0.576182,6.40485,3.60273,9.90113,0.646881
1,2750,2750,0.64,0.703273,0.576182,6.34042,3.56649,9.98473,0.635012
1,2750,2750,0.64,0.703273,0.576182,6.20725,3.49158,10.0075,0.620261
1,2750,2750,0.64,0.703273,0.576182,6.31321,3.55118,9.64346,0.654662
1,2750,2750,0.64,0.703273,0.576182,6.37686,3.58699,9.99749,0.637847
1,2750,2750,0.64,0.703273,0.576182,6.48028,3.64516,10.1237,0.640112
1,2750,2750,0.64,0.703273,0.576182,6.33542,3.56367,9.99308,0.633981
1,2750,2750,0.64,0.703273,0.576182,6.15748,3.46358,9.48055,0.649486
1,2750,2750,0.64,0.703273,0.576182,6.47917,3.64453,9.82145,0.659696
1,2750,2750,0.64,0.703273,0.576182,6.41489,3.60837,10.412,0.616103
1,2750,2750,0.64,0.703273,0.576182,6.54311,3.6805,10.0346,0.652054
1,2750,2750,0.64,0.703273,0.576182,6.28247,3.53389,9.73967,0.645039
1,2750,2750,0.64,0.703273,0.576182,6.66239,3.74759,10.4614,0.636856
1,2750,2750,0.64,0.703273,0.576182,6.38292,3.59039,10.3255,0.61817
